SessionID,IS-session,Poster ID,Paper Title,著者リスト,CMT著者名,英文タイトル | English title,会議・論文誌名の入力 | Enter the name of the conference/journal
ES,IS-B-2_G16,EX-G16,株式会社ＮＴＴドコモ,,,"NTT DOCOMO, INC.",
ES,IS-B-2_G17,EX-G17,株式会社tiwaki,,,"tiwaki Co., Ltd.",
ES,IS-B-2_G18,EX-G18,Sansan株式会社,,,"Sansan, Inc.",
ES,IS-B-2_G19,EX-G19,Mantra株式会社,,,Mantra Inc.,
ES,IS-B-2_G20,EX-G20,三菱重工業株式会社,,,Mitsubishi Heavy Industries. Ltd.,
ES,IS-B-2_G21,EX-G21,日本電気株式会社,,,NEC Corporation,
ES,IS-B-2_G22,EX-G22,住友重機械工業株式会社,,,"Sumitomo Heavy Industries, Ltd",
ES,IS-B-2_G23,EX-G23,株式会社本田技術研究所,,,"Honda R&D Co., Ltd.",
OS1-A,IS1-A-4,OS1-A-01,Layout-Corrector: Alleviating Layout Sticking Phenomenon in Discrete Diffusion Model,"岩井翔真 (東北大), 長内淳樹, 北田俊輔 (LINEヤフー), 大町真一郎 (東北大)",Shoma Iwai (Tohoku University)*; Atsuki Osanai (LY Corp.); Shunsuke KITADA (LY Corp.); Shinichiro Omachi (Tohoku University),Layout-Corrector: Alleviating Layout Sticking Phenomenon in Discrete Diffusion Model,
OS1-A,IS1-A-4,OS1-A-02,巨大バッグに対するLearning from Label Proportionのための理論的ラベル比率摂動,"久保俊介, 松尾信之介 (九大), 末廣大貴 (横浜市大), 寺田和弘, 伊藤寛朗 (京大), 吉澤明彦 (奈良県立医科大), 備瀬竜馬 (九大)",,,
OS1-A,IS1-A-4,OS1-A-03,大規模マルチモーダルモデルを用いた広告画像の評価・改善,"砂田達巳, 塩原楓 (東大), 劉岳松, 丹治直人, 勢〆弘幸 (Septeni Japan), 肖玲, 山崎俊彦 (東大)",,,
OS1-A,IS1-A-4,OS1-A-04,Reliable and Personalized Federated Learning with Prompt-based Method for Visual Question Answering in Medical Domain,"He Zhu, Ren Togo, Takahiro Ogawa, Miki Haseyama (Hokkaido Univ.)",He Zhu (Hokkaido University)*; Ren Togo (Hokkaido University); Takahiro Ogawa (Hokkaido University); Miki Haseyama (Hokkaido University),,
OS1-A,IS1-A-4,OS1-A-05,組合せ最適化問題の画像的扱いによる高精度解法 --- 巡回セールスパーソン問題へのTest-Time Augmentationの適用,"石山遼, 白川嵩大, 内田誠一, 松尾信之介 (九大)",,,
OS1-A,IS1-A-4,OS1-A-06,Black-Box Forgetting,"Yusuke Kuwana, Yuta Goto (Tokyo Univ. of Science), Takashi Shibata (NEC), Go Irie (Tokyo Univ. of Science)",Yusuke Kuwana (Tokyo University of Science)*; Yuta Goto (Tokyo University of Science); Takashi Shibata (NEC Corporation); Go Irie (Tokyo University of Science),,
OS1-A,IS1-A-4,OS1-A-07,学習ベース両眼ステレオが持つ事前知識のNeRFへの導入,"藤村友貴 (奈良先端大), 櫛田貴弘 (立命館大), 北野和哉, 舩冨卓哉, 向川康博 (奈良先端大)",,,
OS1-B,IS1-A-4,OS1-B-01,視覚言語モデルの特徴空間分析に基づく極少数サンプルによるプロンプトラーニング,"広橋佑紀 (中部大, オムロン), 平川翼, 山下隆義, 藤吉弘亘 (中部大)",,,
OS1-B,IS1-A-4,OS1-B-02,Referring Image Segmentationに向けたCLIPとSAM併用のための特徴量設計,伊藤光一郎 (日立),,,
OS1-B,IS1-A-4,OS1-B-03,3D reconstruction of clothed human bodies from a few views via normal maps,"Jane Wu (Stanford Univ.), Diego Thomas (Kyushu Univ.), Ronald Fedkiw (Stanford Univ., Epic Games)","Jane Wu (University of California, Berkeley); Diego Thomas (Kyushu University)*; Ronald Fedkiw (Stanford)",,
OS1-B,IS1-A-4,OS1-B-04,分布外データの棄却機能を持つモダンホップフィールドネットワーク,"森合遼, 井上中順, 田中正行, 川上玲 (東工大), 池畑諭 (東工大, 国立情報学研究所), 佐藤育郎 (東工大, デンソーアイティーラボラトリ)",,,
OS1-B,IS1-A-4,OS1-B-05,SimGlue: スケールや回転変化の大きい画像ペアに対するTransformerを用いた特徴点マッチング,"柗本侑也, 小倉一峰, 中野学 (NEC)",Yuya Matsumoto (NEC Corporation)*; Kazumine Ogura (NEC Corporation); Gaku Nakano (NEC Corporation),SimGlue: Local Feature Matching for Image Pairs with Large Scale and Rotation Changes,
OS1-B,IS1-A-4,OS1-B-06,Semi-supervised Domain Adaptation Using Class Order for Severity Classification,"Shota Harada (Hiroshima City Univ.), Ryoma Bise (Kyushu Univ.), Kiyohito Tanaka (Kyoto Second Red Cross Hospital), Seiichi Uchida (Kyushu Univ.)",Shota Harada (Hiroshima City University)*; Ryoma  Bise (Kyushu University); Kiyohito Tanaka (Kyoto Second Red Cross Hospital); Seiichi Uchida (Kyushu University),,
OS1-B,IS1-A-4,OS1-B-07,Domain Adaptation from Sequentially Arriving Target Images with Online Deep Sets,"Takayuki Katsuki, Haoxiang Qiu, Tomoya Sakai, Takayuki Osogami, Tadanobu Inoue, Daiki Kimura, Cristiano Malossi (IBM)",Takayuki Katsuki (IBM Research - Tokyo)*; haoxiang qiu (IBM); Tomoya Sakai (IBM Research - Tokyo); Takayuki Osogami (IBM Research - Tokyo); Tadanobu Inoue (IBM Research); Daiki Kimura (IBM Research); A. Cristiano I. Malossi (IBM Research - Zurich),Domain Adaptation from Sequentially Arriving Target Images with Online Deep Sets,
OS1-C,IS1-A-4,OS1-C-01,TAG: Guidance-free Open-Vocabulary Semantic Segmentation,"Yasufumi Kawano, Yoshimitsu Aoki (Keio Univ.)",Yasufumi Kawano (Keio Univ.)*; Yoshimitsu Aoki (Keio University),TAG: Guidance-free Open-Vocabulary Semantic Segmentation,
OS1-C,IS1-A-4,OS1-C-02,Integrating Query-target Relationship to Zero-shot Composed Image Retrieval from Masked Image-text Pairs,"Huaying Zhang, Rintaro Yanagi, Ren Togo, Takahiro Ogawa, Miki Haseyama (Hokkaido Univ.)",Huaying Zhang (Hokkaido University)*; Rintaro Yanagi (Hokkaido University); Ren Togo (Hokkaido University); Takahiro Ogawa (Hokkaido University); Miki Haseyama (Hokkaido University),,
OS1-C,IS1-A-4,OS1-C-03,Language-Guided Self-Supervised Video Summarization Using Text Semantic Matching,"Tomoya Sugihara, Shuntaro Masuda, Ling Xiao, Toshihiko Yamasaki (Univ. of Tokyo)",Tomoya Sugihara (University of Tokyo)*; Shuntaro Masuda (The University of Tokyo); Ling Xiao (The university of Tokyo); Toshihiko Yamasaki (The University of Tokyo),Language-Guided Self-Supervised Video Summarization Using Text Semantic Matching,
OS1-C,IS1-A-4,OS1-C-04,Shapley Valueを用いた3D物体検出の判断根拠の説明,"黒木理宏, 山崎俊彦 (東大)",Michihiro Kuroki (The University of Tokyo)*; Toshihiko Yamasaki (The University of Tokyo),Explainig 3D Object Detection through Shapley Value-Based Attribution Map,
OS1-C,IS1-A-4,OS1-C-05,任意視点における直接・大域成分の生成とその質感編集への応用,"松藤憲吾, 石林, 川原僚 (九工大), 岡部孝弘 (岡山大)",,,
OS1-C,IS1-A-4,OS1-C-06,Adaptive Block Sparse Regularization under Arbitrary Linear Transform,"Takanobu Furuhashi, Hidekata Hontani (Nagoya Institute of Technology), Tatsuya Yokota (Nagoya Institute of Technology, RIKEN)",Takanobu Furuhashi (Nagoya Institute of Technology)*; Hidekata Hontani (Nagoya Institute of Technology); Tatsuya Yokota (Nagoya Institute of Technology),,
OS1-C,IS1-A-4,OS1-C-07,Neural Density-Distance Fieldを用いたニューラルレンダリングの透過率バウンドおよび高速化,"上田樹 (筑波大), 千葉直也 (東北大), 相澤宏旭 (広島大), 片岡裕雄 (産総研), 北原格 (筑波大)",,,
OS1-D,IS1-A-4,OS1-D-01,画像生成モデルの追加学習に対する敵対的高周波領域攻撃,"鬼久保拓人, 松井勇佑 (東大)",,,
OS1-D,IS1-A-4,OS1-D-02,Co-embedding Font Shapes and Impressions by Contrastive Learning,"Yugo Kubota, Daichi Haraguchi, Seiichi Uchida (Kyushu Univ.)",Yugo Kubota (Kyushu University)*; Daichi Haraguchi (CyberAgent); Seiichi Uchida (Kyushu University),,
OS1-D,IS1-A-4,OS1-D-03,重症度比較における不確実性と信頼度に基づく教師なしドメイン適応,"門田健明 (慶大), 備瀬竜馬 (九大), 田中聖人 (京都第二赤十字病院), 早志英朗 (阪大)",,,
OS1-D,IS1-A-4,OS1-D-04,Seeking Flat Minima with Mean Teacher on Semi- and Weakly-Supervised Domain Generalization for Object Detection,"Ryosuke Furuta, Yoichi Sato (Univ. of Tokyo)",Ryosuke Furuta (The University of Tokyo)*; Yoichi Sato (University of Tokyo),,
OS1-D,IS1-A-4,OS1-D-05,微分可能レンダラーを用いたロゴ画像生成,"山倉隆太, 柳井啓司 (電通大)",,,
OS1-D,IS1-A-4,OS1-D-06,遠赤外領域におけるBRDFの計測と解析,"西田悠真, 櫛田貴弘, 田中賢一郎 (立命館大)",,,
OS1-D,IS1-A-4,OS1-D-07,NeuraLeaf: Neural Parametric Leaf Models with Shape and Deformation Disentanglement,"Yang Yang, HIiroaki Santo, Yasuyuki Matsushita, Fumio Okura (Osaka Univ.)",Yang Yang (Osaka Univerisity)*; Hiroaki Santo (Osaka University); Yasuyuki Matsushita (Osaka University); Fumio Okura (Osaka University),,
IS1,IS1-A-6,IS1-001,ORS : Overlapping Region Sampling for Efficient Point Cloud Registration,"Tomoyasu Shimada, Kazuhiko Murasaki, Taiga Yoshida, Toshihiko Nishimura, Ryuichi Tanida (NTT)",Tomoyasu Shimada (NTT Corporation)*; Kazuhiko Murasaki (NTT Corporation); Taiga Yoshida (NTT Corporation); Toshihiko Nishimura (NTT Corporation); Ryuichi Tanida (NTT Corporation),,
IS1,IS1-A-6,IS1-002,偏光とガイド法線を利用した未校正照度差ステレオ法による表面形状推定,"村田雅弥, 宮崎大輔 (広島市大)",Masaya Murata (Hiroshima City University)*; Daisuke Miyazaki (Hiroshima City University),Surface Shape Estimation Using Uncalibrated Photometric Stereo with Polarization and Guided Normal,
IS1,IS1-A-6,IS1-003,All-in-focus lensless imaging with open-aperture radial mask and diffusion-based reconstruction,"José Reinaldo Cunha Santos A V Silva Neto, Tomoya Nakamura, Yasushi Yagi (Osaka Univ.)",Jose Reinaldo Cunha Santos A V Silva Neto (Osaka University)*; Tomoya Nakamura (Osaka University); Prof. Yasushi Yagi (Osaka University),,
IS1,IS1-A-6,IS1-004,広域3Dシーン再構成のための画像選択による高速化手法,"黒住隆行, 山田翔大, 紺谷精一, 深津真二 (NTT)",Takayuki Kurozumi (NIPPON TELEGRAPH AND TELEPHONE CORPORATION)*; Shota Yamada (NTT); Seiichi Konya (NIPPON TELEGRAPH AND TELEPHONE CORPORATION); Shinji Fukatsu (NIPPON TELEGRAPH AND TELEPHONE CORPORATION),An acceleration method by image selection for wide-area 3D scene reconstruction,
IS1,IS1-A-6,IS1-005,圧縮ハイパースペクトルカメラにおける白板補正方法の検討,"佐藤智 (パナソニック), 舩冨卓哉, 向川康博 (奈良先端大), 八子基樹, 石川篤, 登一生 (パナソニック)",Satoshi Sato (Panasonic Holdings Corporation)*; Takuya Funatomi (Nara Institute of Science and Technology); Yasuhiro Mukaigawa (NAIST); Motoki Yako (Panasonic Holdings Corporation); Atsushi Ishikawa (	Panasonic Holdings Corporation); Kunio Nobori (Panasonic Holdings Corporation),Rethinking white balance calibration for hyperspectral camera based on compressive sensing,
IS1,IS1-A-6,IS1-006,Evaluation Metrics for Real-World Intrinsic Image Decomposition,"Shogo Sato, Masaru Tsuchida, Mariko Yamaguchi, Takuhiro Kaneko, Kazuhiko Murasaki, Taiga Yoshida, Ryuichi Tanida (NTT)",Shogo Sato (NTT)*; Masaru Tsuchida (NTT Corporation); Mariko Yamaguchi (NTT corporation); Takuhiro Kaneko (NTT Corporation); Kazuhiko Murasaki (NTT Corporation); Taiga Yoshida (NTT Corporation); Ryuichi Tanida (NTT Corporation),Evaluation Metrics for Real-World Intrinsic Image Decomposition,
IS1,IS1-A-6,IS1-007,A Path-Space Differential Boundary Integral for Implicit Surfaces,"Siwei Zhou (Osaka Univ.), Youngha Chang, Nobuhiko Mukai (Tokyo City Univ.), Hiroaki Santo, Fumio Okura, Yasuyuki Matsushita (Osaka Univ.), Shuang Zhao (Univ. of California, Irvine)","siwei zhou (osaka university)*; Youngha Chang (Tokyo City University); NOBUHIKO MUKAI (Tokyo City University); Hiroaki Santo (Osaka University); Fumio Okura (Osaka University); Yasuyuki Matsushita (Osaka University); Shuang Zhao (University of California, Irvine)",,
IS1,IS1-A-6,IS1-008,許容誤差と計測誤差に着目したICPの部分的な重なりに対する加速法,"淺谷南己, 小路春樹, 長門伊吹, 中村匡芳 (京セラ)",,,
IS1,IS1-A-6,IS1-009,A Practical Approach to Calibrating Cameras and Multiple Line-Lasers in Light Sectioning Systems for Underwater Application,"池田貴希, Heyang Gao (九大), Yi Tang (北見工大), 岩口尭史, Diego Thomas (九大), 佐藤啓宏 (京都先端大), 川崎洋 (九大)",takaki ikeda (kyushu university)*; Heyang Gao (Kyushu university ); Yi Tang (kitami institute of technology); Takafumi Iwaguchi (Kyushu Univ.); Diego Thomas (Kyushu University); Yoshihiro Sato (Kyoto University of Advanced Science); Hiroshi Kawasaki (Kyushu univ.),,
IS1,IS1-A-6,IS1-010,人物の重なりに対する頑健性向上のためのマスク処理を用いた姿勢推定,"井手宥希, 今川孝久, 榎田修一 (九工大)",,,
IS1,IS1-A-6,IS1-011,スコピスト支援を目的とする画像の位置合わせを用いた腹腔鏡の回転推定手法の提案,"廣瀬和輝, 斎藤英雄 (慶大), 内山英昭 (奈良先端大), 山口真弘 (NEC), 三原規奨 (川崎市立川崎病院), 松田祐子, 植松陽介, 田中真之, 北郷実, 北川雄光 (慶大)",Kazuki Hirose (Keio University)*; Hideo Saito (Keio University); Hideaki Uchiyama (Nara Institute of Science and Technology); Masahiro Yamaguchi (NEC Corporation); Kisho Mihara (Kawasaki Municipal Kawasaki Hospital); Sachiko Matsuda (Keio University); Yosuke Uematsu (Keio University); Masayuki Tanaka (Keio University); Minoru Kitagou (Keio University); Yuko Kitagawa (Keio University),Estimating Rotation of Laparoscope Using Image Alignment for Navigating Scopists,
IS1,IS1-A-6,IS1-012,RayEmb: Arbitrary Landmark Detection in X-Ray Images Using Ray Embedding Subspace,"Pragyan Shrestha, Chun Xie (Univ. of Tsukuba), Yuichi Yoshii (Tokyo Medical Univ.), Itaru Kitahara (Univ. of Tsukuba)",Pragyan Shrestha (University of Tsukuba)*; Xie Chun (University of Tsukuba); Yuichi Yoshii (Tokyo Medical University); Itaru Kitahara (University of Tsukuba),,
IS1,IS1-A-6,IS1-013,Spherical Gaussian Illumination from a Single Image via Shadow Clues,"Hanwei Zhang (Kyushu Univ.), Xu Cao (CyberAgent), Hiroshi Kawasaki (Kyushu Univ.), Takafumi Taketomi (CyberAgent)",Hanwei Zhang (Kyushu University)*; Xu Cao (CyberAgent); Hiroshi Kawasaki (Kyushu univ.); Takafumi Taketomi (CyberAgent),,
IS1,IS1-A-6,IS1-014,複数反射面を用いた隠れた発光物体の3次元復元,"松原悠真, 坂上文彦, 佐藤淳 (名工大)",Yuma Matsubara (Nagoya Institute of Technology); Fumihiko Sakaue (Nagoya Institute of Technology); Jun Sato (Nagoya Institute of Technology)*,Reconstruction of Hidden Luminous Objects from Multiple Reflective Surfaces,
IS1,IS1-A-6,IS1-015,シーンとの干渉を用いた頭頂カメラ動画からの人体姿勢推定,"伊藤泰智, 坂上文彦, 佐藤淳 (名工大)",Taichi Ito (Nagoya Institute of Technology); Fumihiko Sakaue (Nagoya Institute of Technology); Jun Sato (Nagoya Institute of Technology)*,Human Pose Estimation from Head Mounted Cameras using Scene Interference,
IS1,IS1-A-6,IS1-016,他車両への映り込みを用いた隠れた人体の位置推定,"小澤祐斗, 坂上文彦, 佐藤淳 (名工大)",Hiroto Kozawa (Nagoya Institute of Technology); Fumihiko Sakaue (Nagoya Institute of Technology); Jun Sato (Nagoya Institute of Technology)*,Estimating Hidden Humans from Vehicle Reflections,
IS1,IS1-A-6,IS1-017,3D Gaussian Splattingを利用した人間アバターの生成,"加藤嶺斗, 石川博 (早大)",Taketo Kato (Waseda University)*,Generation of Human Avatars Using 3D Gaussian Splatting,
IS1,IS1-A-6,IS1-018,異なる撮影条件から学習された複数の3Dモデルを組み合わせた3Dシーン再構成,"山田翔大, 黒住隆行, 深津真二 (NTT)",Shota Yamada (NTT)*; Takayuki Kurozumi (NIPPON TELEGRAPH AND TELEPHONE CORPORATION); Shinji Fukatsu (NTT),3D Scene Reconstruction Combined Multiple 3D Models Learned from Different Conditions,
IS1,IS1-A-6,IS1-019,分割階層的平面モデル推定による大規模3D点群の構造解析,"仵⼩軍, 横張和也, ⾕⽥隆⼀ (NTT)",,,
IS1,IS1-A-6,IS1-020,Improved Open-Vocabulary 3D Scene Understanding via Masked Feature Alignment,"Juan Wang (Tohoku Univ.), ZhiJie Wang (RIKEN AIP), Tomo Miyazaki, Shinichiro Omachi (Tohoku Univ.)",Juan Wang (Tohoku University)*; Zhijie Wang (RIKEN AIP); Tomo Miyazaki (Tohoku University); Shinichiro Omachi (Tohoku University),Improved open-vocabulary 3D scene understanding via masked feature alignment,
IS1,IS1-A-6,IS1-021,多視点未較正照度差ステレオのためのテクスチャ空間におけるPBRマテリアル統合手法,"橋田大雅, 山藤浩明, 大倉史生, 松下康之 (阪大)",,,
IS1,IS1-A-6,IS1-022,MPI表現の誤差可視化による自由視点観察用多視点画像撮影支援システム,"安永綾花, 斎藤英雄 (慶大), 森尚平 (グラーツ工科大)",,,
IS1,IS1-A-6,IS1-023,モノクロ画像を入力としたカラー化NeRFの構築,"水上皓太, 出口大輔, 村瀬洋 (名大), 川西康友 (理研)",,,
IS1,IS1-A-6,IS1-024,近傍点の重み予測に基づく点群の色アップサンプリング,"松﨑康平, 野中敬介 (KDDI総合研究所)",,,
IS1,IS1-A-6,IS1-025,数値表層モデルを活用した3D Gaussian Splatting,"青木陽太, 山中高夫 (上智大)",,,
IS1,IS1-A-6,IS1-026,Geospatial Foundation Model by Diversified Data,"Daiki Kimura, Naomi Simumba, Marcus Freitag, Johannes Schmude, Linsong Chu, Daniela Szwarcman, Johannes Jakubik, Paolo Fraccaro, Carlos Gomes, Dario Oliveira, Michal Muszynski, Michiaki Tatsubori (IBM)",Daiki Kimura (IBM Research)*; Naomi Simumba (IBM Research); Marcus Freitag (IBM Research); Johannes Schmude (IBM); Linsong Chu (IBM Research); Daniela Szwarcman (IBM Research); Johannes Jakubik (IBM Research); Paolo Fraccaro (IBM UK); Carlos Gomes (IBM Research	); Dario Oliveira (IBM); Michal Muszynski (IBM Research); Michiaki Tatsubori (IBM Research - Tokyo),,
IS1,IS1-A-6,IS1-027,単視点カメラ画像を用いた座位姿勢推定,"下前仁志, 江角翼, 武村紀子 (九工大)",,,
IS1,IS1-A-6,IS1-028,効率的なアニメ線画の着色作業にむけた逐次的な自動着色精度の改善手法,"渡邉大起 (千葉大), 品川政太朗, 舩冨卓哉 (奈良先端大), 前島謙宣 (オー・エル・エム・デジタル, IMAGICA GROUP), 向川康博, 中村哲 (奈良先端大), 久保尋之 (千葉大)",,,
